代码,简称,时间,开盘价(元),最高价(元),收盘价(元),最低价(元),成交量(万股),成交金额(万元),换手率(%),PE市盈率(TTM)
000001.SH,上证指数,1990/12/19,96.05,99.98,99.98,95.79,126,49.43,0.4796,--
000001.SH,上证指数,1990/12/20,104.3,104.39,104.39,99.98,19.7,8.5,0.075,--
000001.SH,上证指数,1990/12/21,109.07,109.13,109.13,103.73,2.8,1.61,0.0107,--
000001.SH,上证指数,1990/12/24,113.57,114.55,114.55,109.13,3.2,3.11,0.0122,--
000001.SH,上证指数,1990/12/25,120.09,120.25,120.25,114.55,1.5,0.65,0.0057,--
000001.SH,上证指数,1990/12/26,125.27,125.27,125.27,120.25,10,5.37,0.0381,--
000001.SH,上证指数,1990/12/27,125.27,125.28,125.28,125.27,6.6,10.46,0.0251,--
000001.SH,上证指数,1990/12/28,126.39,126.45,126.45,125.28,10.8,8.8,0.0411,--
000001.SH,上证指数,1990/12/31,126.56,127.61,127.61,126.48,7.8,6,0.0291,--
000001.SH,上证指数,1991/1/2,127.61,128.84,128.84,127.61,9.1,5.91,0.0356,--
000001.SH,上证指数,1991/1/3,128.84,130.14,130.14,128.84,14.1,9.39,3.1326,2067.4654
000001.SH,上证指数,1991/1/4,131.27,131.44,131.44,130.14,42,26.19,9.3311,2088.2406
000001.SH,上证指数,1991/1/7,131.99,132.06,132.06,131.45,21.7,14.17,4.821,2088.2406
000001.SH,上证指数,1991/1/8,132.62,132.68,132.68,132.06,292.6,180.69,65.0063,2088.2406
000001.SH,上证指数,1991/1/9,133.3,133.34,133.34,132.68,560.3,322.87,124.4807,2098.9632
000001.SH,上证指数,1991/1/10,133.93,133.97,133.97,133.34,999,539.95,221.9457,2109.6859
000001.SH,上证指数,1991/1/11,134.61,134.61,134.6,134.51,"1,332.70",711.57,296.0832,2120.4086
000001.SH,上证指数,1991/1/14,134.11,135.19,134.67,134.11,"1,253.00",688.36,278.3764,2120.4086
000001.SH,上证指数,1991/1/15,134.21,134.74,134.74,134.19,144.6,101.04,32.1255,2120.4086
000001.SH,上证指数,1991/1/16,134.19,134.74,134.24,134.14,50.9,27.01,11.3083,2131.1313
000001.SH,上证指数,1991/1/17,133.67,134.25,134.25,133.65,65.8,33.42,14.6186,2141.8539
000001.SH,上证指数,1991/1/18,133.7,134.25,134.24,133.67,300.4,157.08,66.7392,2152.5766
000001.SH,上证指数,1991/1/21,133.7,134.24,134.24,133.66,205.1,102.93,45.5666,2163.2993
000001.SH,上证指数,1991/1/22,133.72,134.24,133.72,133.66,35.4,18.08,7.8647,2174.0219
000001.SH,上证指数,1991/1/23,133.17,133.72,133.17,133.14,109.5,57.59,24.3274,2184.7446
000001.SH,上证指数,1991/1/24,132.61,133.17,132.61,132.57,185.7,91.74,41.2566,2195.4673
000001.SH,上证指数,1991/1/25,132.05,132.07,132.05,132.03,344.7,172.22,76.5813,2206.19
000001.SH,上证指数,1991/1/28,131.46,131.55,131.46,131.46,510.7,256.56,113.4612,2206.19
000001.SH,上证指数,1991/1/29,130.95,130.97,130.95,130.95,138.7,71.07,30.8147,2206.19
000001.SH,上证指数,1991/1/30,130.44,130.95,130.44,130.41,52.7,26.07,11.7082,2206.19
000001.SH,上证指数,1991/1/31,129.93,130.46,129.97,129.93,51,24.47,11.3306,2206.19
000001.SH,上证指数,1991/2/1,129.5,129.97,129.51,129.45,34.5,14.09,7.6648,2206.19
000001.SH,上证指数,1991/2/4,129.05,129.58,129.05,129.05,55.3,27.37,12.2859,2206.19
000001.SH,上证指数,1991/2/5,128.56,128.58,128.58,128.53,856.2,425.01,190.2202,2206.19
000001.SH,上证指数,1991/2/6,129.13,129.15,129.14,128.06,664.1,384.73,147.5417,2206.19
000001.SH,上证指数,1991/2/7,129.74,129.79,129.79,129.14,213.3,150.48,47.3884,2216.9126
000001.SH,上证指数,1991/2/8,130.36,130.39,130.38,129.79,123.4,87.99,27.4155,2216.9126
000001.SH,上证指数,1991/2/11,130.92,130.97,130.97,130.39,931.7,483.49,206.9938,2216.9126
000001.SH,上证指数,1991/2/12,131.54,131.56,131.35,130.97,377.4,198.7,83.8462,2216.9126
000001.SH,上证指数,1991/2/13,131.93,131.93,131.92,131.35,115.2,67.37,25.5937,2216.9126
000001.SH,上证指数,1991/2/14,132.53,132.53,132.53,132.3,362.4,188.31,80.5137,2216.9126
000001.SH,上证指数,1991/2/19,133.12,133.14,133.13,133.08,174.8,121.62,38.835,2216.9126
000001.SH,上证指数,1991/2/20,133.63,133.67,133.67,133.13,87.6,52.07,19.4619,2216.9126
000001.SH,上证指数,1991/2/21,134.24,134.28,134.28,133.67,322,177.17,71.5381,2216.9126
000001.SH,上证指数,1991/2/22,134.85,134.87,134.87,134.28,342.7,200.38,76.1369,2216.9126
000001.SH,上证指数,1991/2/25,134.37,134.87,134.4,134.33,81,62.1,17.9956,2216.9126
000001.SH,上证指数,1991/2/26,133.9,134.44,133.93,133.9,109.4,254.57,24.3052,2216.9126
000001.SH,上证指数,1991/2/27,133.44,133.98,133.47,133.44,21.4,14.2,4.7544,2216.9126
000001.SH,上证指数,1991/2/28,132.99,133.52,133.01,132.98,225.8,118.8,50.1655,2216.9126
000001.SH,上证指数,1991/3/1,132.53,132.53,132.53,132.47,712.4,377.73,158.2724,2216.9126
000001.SH,上证指数,1991/3/4,132.09,132.09,131.99,131.98,251.8,141.8,55.9419,2228.3055
000001.SH,上证指数,1991/3/5,131.42,131.99,131.46,131.41,98.2,93.47,21.8169,2239.6983
000001.SH,上证指数,1991/3/6,130.89,130.95,130.94,130.89,71.9,134.54,15.9739,2251.0912
000001.SH,上证指数,1991/3/7,130.41,130.94,130.41,130.41,56.8,42.75,12.6191,2262.484
000001.SH,上证指数,1991/3/8,129.84,130.41,129.89,129.84,93.3,54.18,20.7283,2273.8768
000001.SH,上证指数,1991/3/11,129.3,129.89,129.31,129.3,51.4,29.95,11.4194,2273.8768
000001.SH,上证指数,1991/3/12,128.73,129.31,128.77,128.73,95.7,78.31,21.2615,2273.8768
000001.SH,上证指数,1991/3/13,126.13,128.77,126.15,126.13,49.8,41.83,11.064,2273.8768
000001.SH,上证指数,1991/3/14,125.61,126.15,125.63,125.61,32.6,24.26,7.2427,2273.8768
000001.SH,上证指数,1991/3/15,125.08,125.62,125.17,125.08,79,40.35,17.5513,2273.8768
000001.SH,上证指数,1991/3/18,124.7,125.17,124.71,124.69,125,121.04,27.771,2273.8768
000001.SH,上证指数,1991/3/19,124.23,124.71,124.22,124.22,89.2,68.29,19.8174,2273.8768
000001.SH,上证指数,1991/3/20,123.66,124.21,123.66,123.63,67.8,43.31,15.063,2273.8768
000001.SH,上证指数,1991/3/21,123.14,123.66,123.12,123.12,15.1,13.11,3.3547,2273.8768
000001.SH,上证指数,1991/3/22,122.62,123.12,122.62,122.62,20.7,12.01,4.5989,2273.8768
000001.SH,上证指数,1991/3/25,122.12,122.62,122.12,122.1,44.3,32.42,9.842,2273.8768
000001.SH,上证指数,1991/3/26,121.62,122.14,121.62,121.62,116.4,70.9,25.8603,2273.8768
000001.SH,上证指数,1991/3/27,121.12,121.64,121.12,121.12,66.8,36.6,14.8408,2273.8768
000001.SH,上证指数,1991/3/28,120.65,121.15,120.61,120.61,96.1,50.57,21.3503,2273.8768
000001.SH,上证指数,1991/3/29,120.16,120.61,120.19,120.11,218.5,218.62,48.5437,2285.2697
000001.SH,上证指数,1991/4/1,120.69,120.73,120.73,119.68,"1,199.90",566.67,266.5793,2296.6625
000001.SH,上证指数,1991/4/2,121.21,121.29,121.21,120.73,81.6,38.76,18.1289,2308.0554
000001.SH,上证指数,1991/4/3,121.71,121.71,121.71,121.21,206.3,97.72,45.8332,2319.4482
000001.SH,上证指数,1991/4/4,122.2,122.2,121.72,121.24,"1,051.70",504.59,233.654,2330.841
000001.SH,上证指数,1991/4/5,121.07,121.73,121.54,121.03,"1,158.90",603.56,257.4704,2342.2339
000001.SH,上证指数,1991/4/8,121.11,121.11,121.09,121.05,186.2,167.58,41.3677,2353.6267
000001.SH,上证指数,1991/4/9,120.6,121.1,120.62,120.6,32,29.71,7.1094,2365.6897
000001.SH,上证指数,1991/4/10,120.15,120.62,120.16,120.09,46.6,28.12,10.353,2377.7527
000001.SH,上证指数,1991/4/11,119.64,120.16,119.64,119.62,23.9,57.68,5.3098,2377.7527
000001.SH,上证指数,1991/4/12,119.2,119.65,119.21,119.15,39.9,30.13,8.8645,2389.8157
000001.SH,上证指数,1991/4/15,118.73,119.22,118.77,118.72,30.1,38.7,6.6873,2401.8787
000001.SH,上证指数,1991/4/16,118.36,118.77,118.34,118.34,10.5,17.72,2.3328,2413.9418
000001.SH,上证指数,1991/4/17,117.92,118.34,117.9,117.89,20.1,25.95,4.4656,2426.0048
000001.SH,上证指数,1991/4/18,117.45,117.93,117.45,117.45,17.8,13.39,3.9546,2438.0678
000001.SH,上证指数,1991/4/19,117.08,117.5,117.08,117.05,64.6,42.47,14.352,2450.1308
000001.SH,上证指数,1991/4/22,116.63,117.08,116.63,116.58,43,32.13,9.5532,2462.1938
000001.SH,上证指数,1991/4/23,116.21,116.63,116.19,116.15,28.2,26.44,6.2651,2474.2568
000001.SH,上证指数,1991/4/24,115.7,116.19,115.79,115.7,14.8,12.18,3.2881,2486.3198
000001.SH,上证指数,1991/4/25,115.38,115.79,115.36,115.33,149.5,99.89,33.2141,2499.053
000001.SH,上证指数,1991/4/26,116.31,116.31,115.56,114.52,"1,335.40",580.68,296.683,2523.8492
000001.SH,上证指数,1991/4/29,114.86,116.29,114.75,114.75,841.1,361.07,186.8654,2549.3155
000001.SH,上证指数,1991/4/30,113.89,114.87,113.94,113.89,485,273.42,107.7514,2574.7818
000001.SH,上证指数,1991/5/2,113.04,113.2,113.16,113.03,146.5,112.4,32.5476,2600.2482
000001.SH,上证指数,1991/5/3,112.46,113.17,112.41,112.3,423,238.69,93.977,2626.3847
000001.SH,上证指数,1991/5/6,111.65,112.41,111.61,111.57,276.4,142.36,61.4072,2652.5212
000001.SH,上证指数,1991/5/7,110.8,110.9,110.82,110.8,187.5,90.7,41.6565,2679.3279
000001.SH,上证指数,1991/5/8,110.16,110.82,110.03,110,42.3,37.52,9.3977,2706.1346
000001.SH,上证指数,1991/5/9,109.36,110.12,109.29,109.31,226.6,121.56,50.3432,2732.9413
000001.SH,上证指数,1991/5/10,108.61,109.4,108.53,108.53,24.9,31.32,5.532,2760.4181
000001.SH,上证指数,1991/5/13,107.88,107.88,107.84,107.74,23.5,18.23,5.2209,2787.895
000001.SH,上证指数,1991/5/14,107.21,107.84,107.19,107.06,26.7,18.54,5.9319,2816.042
000001.SH,上证指数,1991/5/15,106.56,106.6,106.57,106.42,39,30.77,8.6645,2844.189
000001.SH,上证指数,1991/5/16,105.83,105.86,105.77,105.69,310.8,144.59,69.0498,2872.336
000001.SH,上证指数,1991/5/17,105.12,106.75,106.75,104.96,"2,019.20",763.31,448.6015,2901.1532
000001.SH,上证指数,1991/5/20,107.76,107.82,107.82,106.71,86.3,92.42,19.1731,2929.9704
000001.SH,上证指数,1991/5/21,108.89,108.89,108.81,108.62,77.1,130.96,17.1291,2959.4577
000001.SH,上证指数,1991/5/22,109.71,109.82,108.25,108.11,"1,867.70",796.7,414.943,2988.9451
000001.SH,上证指数,1991/5/23,107.52,109.16,109.08,107.35,560.9,277.05,124.614,3019.1026
000001.SH,上证指数,1991/5/24,110.07,110.08,110.08,109.82,102.4,66.1,22.75,3049.2601
000001.SH,上证指数,1991/5/27,111.05,111.07,110.66,109.47,861.9,382.78,191.4865,3080.0878
000001.SH,上证指数,1991/5/28,111.61,111.68,111.68,111.36,163,97.05,36.2134,3110.9155
000001.SH,上证指数,1991/5/29,112.75,112.75,112.75,111.67,53,132.06,11.7749,3141.7432
000001.SH,上证指数,1991/5/30,113.74,113.82,113.82,112.77,38.8,75.35,8.6201,3173.241
000001.SH,上证指数,1991/5/31,114.83,114.83,114.83,113.84,121.1,147.05,26.9045,3204.7389
000001.SH,上证指数,1991/6/3,115.9,115.97,115.97,114.89,95.4,164.31,21.1948,3236.9069
000001.SH,上证指数,1991/6/4,117.12,117.12,117.12,116.83,360.3,201.86,80.0471,3269.0749
000001.SH,上证指数,1991/6/5,118.17,118.17,118.17,117.14,30.8,27.93,6.8428,3269.0749
000001.SH,上证指数,1991/6/6,119.26,119.35,119.35,118.17,26.6,16.05,5.9097,3301.9131
000001.SH,上证指数,1991/6/7,120.46,120.47,120.47,119.35,10,8.32,2.2217,3334.7513
000001.SH,上证指数,1991/6/10,121.65,121.67,121.67,120.47,40,45.89,8.8867,3368.2596
000001.SH,上证指数,1991/6/11,122.89,122.89,122.89,121.67,54.3,37.5,12.0637,3401.768
000001.SH,上证指数,1991/6/12,123.9,124.11,124.11,122.89,137.2,73.54,30.4814,3435.9465
000001.SH,上证指数,1991/6/13,125.33,125.34,125.34,123.65,"2,086.80","1,156.38",463.62,3470.125
000001.SH,上证指数,1991/6/14,124.47,126.34,124.53,124.47,663.3,354.11,147.364,3504.9737
000001.SH,上证指数,1991/6/17,125.63,125.77,125.77,123.54,693.3,405.67,154.029,3539.8224
000001.SH,上证指数,1991/6/18,127.03,127.03,127.03,126.67,203,101.51,45.1001,3575.3413
000001.SH,上证指数,1991/6/19,128.12,128.29,128.29,127.03,148.1,74.41,32.9031,3610.8601
000001.SH,上证指数,1991/6/20,129.55,129.57,129.57,129.21,229.9,132.13,51.0764,3647.0491
000001.SH,上证指数,1991/6/21,130.72,130.86,130.86,128.81,"1,361.30",774.65,302.4372,3683.2382
000001.SH,上证指数,1991/6/24,132.1,132.17,132.17,131.8,196,165.78,43.5449,3720.0974
000001.SH,上证指数,1991/6/25,133.48,133.49,133.49,132.17,162.4,129.6,36.0801,3757.6267
000001.SH,上证指数,1991/6/26,134.83,134.83,134.83,133.49,340.9,215,75.737,3795.1561
000001.SH,上证指数,1991/6/27,136.04,136.19,136.19,134.83,449.7,252.12,99.9089,3833.3556
000001.SH,上证指数,1991/6/28,137.41,137.56,137.56,136.19,493.5,303.3,109.6399,3871.5551
000001.SH,上证指数,1991/7/1,136.64,138.62,136.85,136.56,"2,294.00","1,246.99",509.6532,3760.1421
000001.SH,上证指数,1991/7/2,135.91,135.96,135.96,135.69,283.8,379.41,63.0513,3797.518
000001.SH,上证指数,1991/7/3,135.28,135.96,135.27,134.98,271.5,181.85,60.3186,3835.5383
000001.SH,上证指数,1991/7/4,136.63,136.63,136.63,134.19,"1,339.40",809.51,297.5717,3874.203
000001.SH,上证指数,1991/7/5,136.01,137.68,135.96,135.9,"1,454.00",939.49,323.0321,3912.8677
000001.SH,上证指数,1991/7/8,135.26,135.28,135.28,134.93,587.4,292.59,130.5014,3952.1768
000001.SH,上证指数,1991/7/9,136.56,136.57,134.64,134.31,844.2,417.48,187.5542,3991.4859
000001.SH,上证指数,1991/7/10,134.4,135.6,133.99,133.72,602.3,289.46,133.8117,4031.4394
000001.SH,上证指数,1991/7/11,133.22,133.99,133.38,133.13,507.3,241.79,112.7058,4072.0373
000001.SH,上证指数,1991/7/12,132.8,133.38,132.8,132.42,314.4,148.41,69.8496,4112.6353
000001.SH,上证指数,1991/7/15,133.9,134.1,133.14,131.87,"1,193.80",553.49,92.3415,2848.4573
000001.SH,上证指数,1991/7/16,134.39,134.47,134.47,133.14,279.6,132.85,21.6273,2876.754
000001.SH,上证指数,1991/7/17,135.81,135.81,135.81,135.39,66,39.75,5.1052,2905.411
000001.SH,上证指数,1991/7/18,137.17,137.17,137.17,135.81,84.7,46.44,6.5516,2934.5729
000001.SH,上证指数,1991/7/19,137.66,138.54,136.7,136.66,"1,082.30",524.28,83.7169,2963.7348
000001.SH,上证指数,1991/7/22,138.07,138.07,138.07,136.7,276.4,142.32,21.3798,2993.3634
000001.SH,上证指数,1991/7/23,139.35,139.39,139.39,138.07,724.1,354.86,56.0098,3023.4068
000001.SH,上证指数,1991/7/24,140.66,140.74,140.68,138.69,598.8,290.15,46.3177,3053.4276
000001.SH,上证指数,1991/7/25,140.2,141.01,140.19,139.99,839,408.09,64.8974,3083.8535
000001.SH,上证指数,1991/7/26,140.11,141.46,140.66,139.27,927.9,452.08,71.7739,3114.7383
000001.SH,上证指数,1991/7/29,141.22,141.72,141.52,140.81,477.1,235.03,36.9041,3145.6231
000001.SH,上证指数,1991/7/30,142.39,142.45,142.39,141.39,560.1,271.8,43.3242,3176.9572
000001.SH,上证指数,1991/7/31,143.72,143.8,143.8,142.39,405.1,199.32,31.3348,3208.7059
000001.SH,上证指数,1991/8/1,145.12,145.24,145.24,143.8,473.1,231.05,36.5947,3240.9039
000001.SH,上证指数,1991/8/2,146.49,146.68,146.68,145.44,"1,174.40",582.51,90.8409,3273.1601
000001.SH,上证指数,1991/8/5,148.06,148.15,148.15,146.68,512.6,259.4,39.6501,3305.8656
000001.SH,上证指数,1991/8/6,149.62,149.62,149.62,148.15,200.1,106.55,15.4779,3338.9951
000001.SH,上证指数,1991/8/7,150.93,151.12,151.12,149.62,110.7,58.02,8.5627,3372.5143
000001.SH,上证指数,1991/8/8,152.57,152.61,152.61,151.12,195.1,104.54,15.0912,3406.0642
000001.SH,上证指数,1991/8/9,153.9,154.1,154.1,152.61,371.5,199.04,28.7359,3439.9755
000001.SH,上证指数,1991/8/12,155.34,155.54,155.54,154.1,391.9,215.42,30.3138,3474.3587
000001.SH,上证指数,1991/8/13,156.87,157.07,157.07,155.54,"2,003.90","1,052.97",155.0034,3509.1612
000001.SH,上证指数,1991/8/14,158.3,158.63,158.63,158.11,548,292.92,42.3883,3544.0538
000001.SH,上证指数,1991/8/15,159.92,160.21,160.21,158.63,153.7,85.08,11.8888,3579.3349
000001.SH,上证指数,1991/8/16,161.56,161.6,161.6,160.21,98.4,58.13,7.6113,3581.535
000001.SH,上证指数,1991/8/19,163.21,163.21,163.21,161.6,98.5,61.5,7.6191,3617.2815
000001.SH,上证指数,1991/8/20,164.74,164.84,164.84,163.21,57.3,38.83,4.4322,3653.4772
000001.SH,上证指数,1991/8/21,166.49,166.49,166.49,164.84,341.1,210.64,26.3844,3690.1497
000001.SH,上证指数,1991/8/22,167.81,168.16,168.16,166.49,129.6,84.57,10.0247,3726.8567
000001.SH,上证指数,1991/8/23,169.81,169.81,169.81,168.16,60.5,50.26,4.6797,3763.9571
000001.SH,上证指数,1991/8/26,171.51,171.51,171.51,169.81,64.3,51.81,4.8003,3805.1849
000001.SH,上证指数,1991/8/27,173.06,173.19,173.19,171.51,79.6,52.1,5.8594,3839.5761
000001.SH,上证指数,1991/8/28,174.82,174.92,174.92,173.19,80.4,51.14,5.9182,3877.9972
000001.SH,上证指数,1991/8/29,176.53,176.66,176.66,174.92,260.8,162.91,19.1975,3916.867
000001.SH,上证指数,1991/8/30,178.2,178.43,178.43,176.66,675.9,421.92,49.753,3956.1855
000001.SH,上证指数,1991/9/2,180.08,180.22,180.22,178.43,140.8,88.69,10.3643,3995.9187
000001.SH,上证指数,1991/9/3,181.71,181.97,181.97,180.22,147.5,94.03,10.8575,4035.6474
000001.SH,上证指数,1991/9/4,183.66,183.69,183.69,181.97,65,47,4.7847,4075.8938
000001.SH,上证指数,1991/9/5,185.48,185.51,185.51,183.69,151.4,109.52,11.1446,4116.5244
000001.SH,上证指数,1991/9/6,187.09,187.36,187.36,185.51,276.5,176.13,20.3532,4157.6342
000001.SH,上证指数,1991/9/9,189.1,189.24,189.24,187.36,355.2,234.96,26.1463,4199.1928
000001.SH,上证指数,1991/9/10,190.98,190.98,188.33,188.19,"3,343.40","2,150.78",246.1079,4236.5436
000001.SH,上证指数,1991/9/11,187.29,187.29,187.22,186.86,"2,139.20","1,467.74",157.4666,4273.9776
000001.SH,上证指数,1991/9/12,186.22,187.4,186.22,186.07,"1,969.90","1,626.57",145.0045,4312.0058
000001.SH,上证指数,1991/9/13,188,188.04,187.79,185.01,"3,743.40","2,403.50",275.5519,4350.6938
000001.SH,上证指数,1991/9/16,189.55,189.66,189.66,187.79,993.3,634.32,73.1169,4394.2184
000001.SH,上证指数,1991/9/17,191.16,191.18,188.65,188.28,"2,882.90","1,862.39",212.2104,4433.5086
000001.SH,上证指数,1991/9/18,187.26,188.59,187.63,187.18,"1,582.20","1,101.56",116.4658,4473.3123
000001.SH,上证指数,1991/9/19,187.65,189.21,186.88,186.49,"2,343.90","1,460.75",172.5346,4513.5871
000001.SH,上证指数,1991/9/20,185.77,187.21,185.92,185.66,"1,207.50",741.76,88.8841,4554.1669
000001.SH,上证指数,1991/9/23,185,185.92,185,184.71,403.4,280.67,29.6943,4595.2081
000001.SH,上证指数,1991/9/24,183.96,185.04,184.08,183.69,142.6,100.27,10.4968,4636.698
000001.SH,上证指数,1991/9/25,182.8,184.08,183.19,182.8,138.9,93.41,10.2244,4678.6365
000001.SH,上证指数,1991/9/26,182.21,183.19,182.33,181.93,654.1,462.02,48.1483,4720.9979
000001.SH,上证指数,1991/9/27,183.12,183.89,181.82,181.19,"3,372.80","2,041.65",248.272,4763.7774
000001.SH,上证指数,1991/9/30,180.28,181.95,180.92,180.27,"2,559.40","2,233.60",281.7481,4806.8582
000001.SH,上证指数,1991/10/3,181.55,182.48,182.48,179.8,"1,874.10","1,233.00",137.9526,4850.7302
000001.SH,上证指数,1991/10/4,184.29,184.29,184.29,183.59,736,504,54.177,4899.0265
000001.SH,上证指数,1991/10/7,185.95,186,186,185.41,"1,136.90",729.12,83.6873,4948.2211
000001.SH,上证指数,1991/10/8,187.59,187.61,187.49,186,"2,374.50","1,524.16",174.7871,4993.5309
000001.SH,上证指数,1991/10/9,188.49,189.12,189.12,186.31,"2,098.90","1,344.01",154.5002,5039.4845
000001.SH,上证指数,1991/10/10,190.71,191.01,191.01,189.12,663.8,433.35,48.8624,5089.8974
000001.SH,上证指数,1991/10/11,192.84,192.88,192.85,191.01,"1,098.10",725.18,80.8312,5140.534
000001.SH,上证指数,1991/10/14,194.06,194.69,194.67,192.32,"2,149.30","1,394.80",158.2101,5191.1953
000001.SH,上证指数,1991/10/15,196.58,196.61,196.61,194.67,"1,100.20",726.52,80.9858,5242.896
000001.SH,上证指数,1991/10/16,198.51,198.57,198.57,196.61,956.2,627.4,70.3859,5295.4665
000001.SH,上证指数,1991/10/17,200.5,200.51,200.51,198.57,607.7,413.63,44.7328,5348.3968
000001.SH,上证指数,1991/10/18,202.5,202.51,202.51,200.51,296.8,238.41,21.8475,5401.8728
000001.SH,上证指数,1991/10/21,204.53,204.53,204.53,202.51,353.7,251.43,26.0359,5455.7286
000001.SH,上证指数,1991/10/22,206.06,206.53,206.53,204.53,212.8,152.11,15.6642,5510.3669
000001.SH,上证指数,1991/10/23,208.06,208.25,208.25,206.53,262.3,198.01,19.3079,5512.8673
000001.SH,上证指数,1991/10/24,210.2,210.2,210.07,208.25,"1,935.70","1,317.42",142.487,5563.6597
000001.SH,上证指数,1991/10/25,210.34,211.97,211.86,209.71,"3,265.00","2,226.31",240.3368,5617.326
000001.SH,上证指数,1991/10/28,213.5,213.98,213.98,211.86,321.7,235.79,23.6804,5673.3744
000001.SH,上证指数,1991/10/29,215.63,215.78,215.78,213.98,269.7,206.97,19.8526,5675.926
000001.SH,上证指数,1991/10/30,216.37,216.43,216.43,215.78,238,181.45,17.5192,5732.8421
000001.SH,上证指数,1991/10/31,218.59,218.6,218.6,216.43,392.9,291.47,28.9214,5790.207
000001.SH,上证指数,1991/11/1,220.71,220.72,220.72,218.6,590.6,431.34,43.4741,5847.8976
000001.SH,上证指数,1991/11/4,222.77,222.77,222.77,220.79,447.4,335.23,32.9331,5906.5405
000001.SH,上证指数,1991/11/5,224.44,224.65,224.65,222.77,280.5,222.56,20.6476,5909.2324
000001.SH,上证指数,1991/11/6,226.83,226.88,226.88,224.65,284.8,218.81,20.9641,5968.2847
000001.SH,上证指数,1991/11/7,228.93,228.93,228.93,226.88,483.3,408.51,35.5757,6027.7442
000001.SH,上证指数,1991/11/8,230.99,231.22,231.22,228.93,"1,440.60","1,103.91",106.0426,6088.1722
000001.SH,上证指数,1991/11/11,233.48,233.55,233.55,231.22,247.4,213.08,18.2111,6149.023
000001.SH,上证指数,1991/11/12,235.75,235.8,235.8,233.55,89.5,91.44,6.5881,6210.193
000001.SH,上证指数,1991/11/13,236.51,236.67,236.67,235.8,79.9,88,5.8814,6272.3559
000001.SH,上证指数,1991/11/14,237.39,237.45,237.45,236.67,86.2,94.01,6.3452,6334.7988
000001.SH,上证指数,1991/11/15,238.25,238.25,238.25,237.45,205.8,191.48,15.1489,6398.071
000001.SH,上证指数,1991/11/18,240.04,240.62,240.62,238.25,188.5,153.44,13.8755,6461.9295
000001.SH,上证指数,1991/11/19,242.24,242.24,242.24,240.62,231,204.09,17.0039,6462.1479
000001.SH,上证指数,1991/11/20,244.5,244.5,244.5,242.24,232.5,192.91,17.1143,6526.8697
000001.SH,上证指数,1991/11/21,246.26,246.31,246.31,244.5,215.5,203.05,15.863,6527.0881
000001.SH,上证指数,1991/11/22,248.24,248.53,248.53,246.31,213.3,195.45,15.701,6589.5595
000001.SH,上证指数,1991/11/25,250.84,250.85,250.85,248.53,233.1,196.4,17.1585,6655.6113
000001.SH,上证指数,1991/11/26,252.9,252.97,252.97,250.85,245.4,232.66,18.0639,6658.6279
000001.SH,上证指数,1991/11/27,255.27,255.45,255.45,252.97,212,175.69,15.6053,6725.0313
000001.SH,上证指数,1991/11/28,257.28,257.35,257.35,255.45,250.2,225.18,18.4172,6727.9946
000001.SH,上证指数,1991/11/29,259.68,259.85,259.6,257.35,"3,369.50","2,845.39",248.0291,6791.2167
000001.SH,上证指数,1991/12/2,261.78,262.19,262.19,259.67,"1,912.80","1,631.02",140.8013,6859.0033
000001.SH,上证指数,1991/12/3,264.64,264.81,264.81,262.19,110.1,120.76,8.1045,6927.6533
000001.SH,上证指数,1991/12/4,265.53,265.77,265.77,264.81,74.2,90.33,5.4619,6996.752
000001.SH,上证指数,1991/12/5,266.48,266.66,266.66,265.77,205,210.03,15.0901,7066.6009
000001.SH,上证指数,1991/12/6,269.34,269.35,269.35,266.66,161.3,179.89,11.8733,7137.4587
000001.SH,上证指数,1991/12/9,270.27,270.27,270.27,269.35,163.1,164.88,12.0058,7208.6224
000001.SH,上证指数,1991/12/10,270.27,272.91,272.91,270.27,51.6,66.55,3.7983,7280.6252
000001.SH,上证指数,1991/12/11,273.53,273.71,273.71,272.91,66.9,85.9,4.9245,7353.2325
000001.SH,上证指数,1991/12/12,274.41,274.41,274.41,273.71,157.7,164.42,11.6083,7423.4789
000001.SH,上证指数,1991/12/13,276.81,277,277,274.41,74.6,96.23,5.4913,7497.4776
000001.SH,上证指数,1991/12/16,277.53,277.85,277.85,277,58,81.7,4.2694,7569.6177
000001.SH,上证指数,1991/12/17,278.67,278.68,278.68,277.85,49.3,75.5,3.629,7644.7813
000001.SH,上证指数,1991/12/18,279.32,279.51,279.51,278.68,76,89.33,5.5944,7720.8083
000001.SH,上证指数,1991/12/19,279.98,280.17,280.17,279.51,109.4,124.27,8.0529,7794.6737
000001.SH,上证指数,1991/12/20,282.83,282.83,282.83,280.63,439.3,626.87,32.3369,7872.5067
000001.SH,上证指数,1991/12/23,285.65,285.65,285.65,282.83,104.6,118.21,7.6996,7951.05
000001.SH,上证指数,1991/12/24,285.74,286.22,286.22,285.65,48.6,59.34,3.5774,8027.1389
000001.SH,上证指数,1991/12/25,287.09,287.15,287.15,286.22,57.3,87.36,4.2179,8107.108
000001.SH,上证指数,1991/12/26,288.03,288.03,288.03,287.15,116.8,142.24,8.5977,8187.803
000001.SH,上证指数,1991/12/27,290.65,290.85,290.85,288.03,155.1,178.95,11.4169,8269.6284
000001.SH,上证指数,1991/12/30,291.71,291.71,291.71,290.85,116.5,188.11,8.5756,8349.1805
