,tdays,SSE_index
253,20140123,2048.331
254,20140124,2037.667
255,20140127,2044.272
256,20140128,2036.402
257,20140129,2042.176
258,20140130,2045.931
259,20140207,2022.323
260,20140210,2049.984
261,20140211,2086.177
262,20140212,2103.828
263,20140213,2106.934
264,20140214,2097.32
265,20140217,2124.88
266,20140218,2134.143
267,20140219,2116.919
268,20140220,2152.891
269,20140221,2131.592
270,20140224,2099.717
271,20140225,2077.285
272,20140226,2026.61
273,20140227,2045.096
274,20140228,2040.624
275,20140303,2052.075
276,20140304,2068.107
277,20140305,2073.295
278,20140306,2050.032
279,20140307,2058.375
280,20140310,2042.352
281,20140311,1994.415
282,20140312,1996.239
283,20140313,2000.695
284,20140314,2008.825
285,20140317,2009.882
286,20140318,2026.224
287,20140319,2019.98
288,20140320,2017.22
289,20140321,1987.679
290,20140324,2050.827
291,20140325,2063.323
292,20140326,2070.574
293,20140327,2060.812
294,20140328,2046.851
295,20140331,2043.045
296,20140401,2031.005
297,20140402,2049.423
298,20140403,2063.497
299,20140404,2037.552
300,20140408,2054.53
301,20140409,2100.651
302,20140410,2105.876
303,20140411,2130.368
304,20140414,2127.409
305,20140415,2125.902
306,20140416,2097.213
307,20140417,2108.947
308,20140418,2091.48
309,20140421,2085.98
310,20140422,2062.787
311,20140423,2068.084
312,20140424,2064.156
313,20140425,2060.538
314,20140428,2033.337
315,20140429,2001.896
316,20140430,2020.438
317,20140505,2022.178
318,20140506,2024.256
319,20140507,2023.152
320,20140508,2006.853
321,20140509,2016.501
322,20140512,2022.932
323,20140513,2055.079
324,20140514,2049.27
325,20140515,2044.377
326,20140516,2023.596
327,20140519,2023.014
328,20140520,2011.846
329,20140521,2001.306
330,20140522,2023.148
331,20140523,2020.115
332,20140526,2042.028
333,20140527,2039.791
334,20140528,2034.561
335,20140529,2051.84
336,20140530,2040.394
337,20140603,2039.196
338,20140604,2037.989
339,20140605,2019.442
340,20140606,2040.864
341,20140609,2024.942
342,20140610,2033.207
343,20140611,2049.128
344,20140612,2051.582
345,20140613,2049.206
346,20140616,2070.699
347,20140617,2080.482
348,20140618,2064.383
349,20140619,2054.62
350,20140620,2013.414
351,20140623,2026.226
352,20140624,2023.699
353,20140625,2030.433
354,20140626,2025.662
355,20140627,2031.907
356,20140630,2038.613
357,20140701,2051.225
358,20140702,2049.485
359,20140703,2051.632
360,20140704,2062.358
361,20140707,2058.128
362,20140708,2058.134
363,20140709,2061.635
364,20140710,2036.54
365,20140711,2033.869
366,20140714,2047.744
367,20140715,2065.9
368,20140716,2068.343
369,20140717,2062.888
370,20140718,2047.498
371,20140721,2057.767
372,20140722,2050.5
373,20140723,2074.195
374,20140724,2079.632
375,20140725,2108.714
376,20140728,2135.249
377,20140729,2179.826
378,20140730,2178.179
379,20140731,2179.543
380,20140801,2194.17
381,20140804,2190.036
382,20140805,2224.632
383,20140806,2212.003
384,20140807,2216.659
385,20140808,2188.709
386,20140811,2199.433
387,20140812,2222.696
388,20140813,2223.051
389,20140814,2221.541
390,20140815,2207.226
391,20140818,2229.804
392,20140819,2242.34
393,20140820,2241.664
394,20140821,2239.568
395,20140822,2228.974
396,20140825,2241.1
397,20140826,2225.291
398,20140827,2207.03
399,20140828,2210.484
400,20140829,2198.946
401,20140901,2220.129
402,20140902,2239.684
403,20140903,2268.395
404,20140904,2290.029
405,20140905,2311.305
406,20140909,2328.426
407,20140910,2318.496
408,20140911,2315.732
409,20140912,2308.346
410,20140915,2330.187
411,20140916,2341.027
412,20140917,2298.982
413,20140918,2303.85
414,20140919,2312.984
415,20140922,2323.554
416,20140923,2289.091
417,20140924,2302.231
418,20140925,2352.865
419,20140926,2339.288
420,20140929,2353.708
421,20140930,2361.318
422,20141008,2368.576
423,20141009,2383.859
424,20141010,2380.755
425,20141013,2366.426
426,20141014,2362.802
427,20141015,2358.233
428,20141016,2361.13
429,20141017,2352.784
430,20141020,2346.052
431,20141021,2355.033
432,20141022,2339.223
433,20141023,2322.316
434,20141024,2303.08
435,20141027,2293.573
436,20141028,2294.012
437,20141029,2343.72
438,20141030,2371.891
439,20141031,2393.178
440,20141103,2425.225
441,20141104,2428.271
442,20141105,2432.169
443,20141106,2419.617
444,20141107,2427.898
445,20141110,2436.628
446,20141111,2483.648
447,20141112,2454.602
448,20141113,2494.998
449,20141114,2477.966
450,20141117,2506.864
451,20141118,2474.182
452,20141119,2452.15
453,20141120,2443.276
454,20141121,2452.635
455,20141124,2505.532
456,20141125,2531.998
457,20141126,2572.649
458,20141127,2615.367
459,20141128,2629.626
460,20141201,2691.725
461,20141202,2667.82
462,20141203,2768.678
463,20141204,2783.469
464,20141205,2926.573
465,20141208,2907.815
466,20141209,2992.49
467,20141210,2855.94
468,20141211,2912.346
469,20141212,2929.36
470,20141215,2921.446
471,20141216,2953.811
472,20141217,3031.952
473,20141218,3062.801
474,20141219,3053.075
475,20141222,3129.267
476,20141223,3085.08
477,20141224,3039.206
478,20141225,2992.462
479,20141226,3078.005
480,20141229,3212.559
481,20141230,3160.801
482,20141231,3172.597
483,20150105,3258.627
484,20150106,3330.799
485,20150107,3326.649
486,20150108,3371.957
487,20150109,3276.965
488,20150112,3258.213
489,20150113,3223.542
490,20150114,3242.337
491,20150115,3224.07
492,20150116,3343.603
493,20150119,3189.727
494,20150120,3114.56
495,20150121,3189.085
496,20150122,3327.319
497,20150123,3357.096
498,20150126,3347.257
499,20150127,3389.853
500,20150128,3325.722
501,20150129,3258.997
502,20150130,3273.747
503,20150202,3148.136
504,20150203,3156.086
505,20150204,3212.822
506,20150205,3251.212
507,20150206,3120.09
508,20150209,3063.51
509,20150210,3090.49
510,20150211,3145.765
511,20150212,3157.959
512,20150213,3186.808
513,20150216,3206.137
514,20150217,3230.884
515,20150225,3256.479
516,20150226,3222.151
517,20150227,3296.831
518,20150302,3332.721
519,20150303,3317.695
520,20150304,3264.182
521,20150305,3264.085
522,20150306,3248.036
523,20150309,3224.314
524,20150310,3289.085
525,20150311,3289.594
526,20150312,3314.813
527,20150313,3359.488
528,20150316,3391.158
529,20150317,3469.603
530,20150318,3510.501
531,20150319,3576.019
532,20150320,3587.084
533,20150323,3640.104
534,20150324,3692.569
535,20150325,3680.953
536,20150326,3641.942
537,20150327,3686.134
538,20150330,3710.612
539,20150331,3822.987
540,20150401,3748.34
541,20150402,3827.689
542,20150403,3803.383
